This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   163101
Number of nonzeros in inequality constraint Jacobian.:    35160
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    55874
                     variables with only lower bounds:    12874
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    44274
Total number of inequality constraints...............:    10052
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    10052

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  3.2945154e+02 1.62e-01 4.38e+04  -3.1 9.78e-01    -  6.47e-01 3.81e-01f  1
 111  3.2567035e+02 1.25e-01 3.76e+04  -3.0 1.23e+00    -  6.48e-01 1.81e-01f  1
 112  3.3130452e+02 1.65e-01 1.86e+04  -2.5 1.39e+00    -  3.37e-01 2.98e-01f  1
 113  3.2709125e+02 7.46e-01 1.45e+04  -2.8 6.77e-01    -  7.07e-01 4.94e-01f  1
 114  3.2772961e+02 7.86e-01 5.23e+03  -2.8 4.58e-01    -  6.24e-01 6.35e-01H  1
 115  3.2179315e+02 3.82e-01 1.38e+01  -2.8 1.51e-01    -  6.29e-01 8.74e-01f  1
 116  3.1891455e+02 5.36e-02 9.13e+02  -2.9 1.03e-01    -  1.00e+00 9.19e-01f  1
 117  3.1676532e+02 4.26e-02 6.89e+04  -3.3 4.08e-01    -  1.00e+00 2.02e-01f  1
 118  3.1788694e+02 1.21e-01 8.40e+03  -2.7 1.87e+00    -  4.75e-01 1.26e-01f  3
 119  3.1424766e+02 4.11e-01 6.21e+03  -3.0 2.06e+00    -  5.18e-01 4.46e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.5636872e+02 7.36e-01 3.56e+04  -2.2 3.83e+00    -  1.70e-01 2.34e-01f  1
 121  3.2799711e+02 5.30e-01 1.60e+04  -2.8 3.04e-01    -  5.40e-01 5.48e-01f  1
 122  3.2022625e+02 7.81e-01 4.40e+03  -2.8 3.73e-01    -  5.18e-01 1.00e+00f  1
 123  3.1755594e+02 1.43e+00 4.13e+00  -2.8 2.96e-01    -  1.00e+00 8.67e-01f  1
 124  3.1684062e+02 4.14e-01 1.61e+00  -2.8 1.87e-01    -  1.00e+00 1.00e+00f  1
 125  3.1689685e+02 4.18e-02 1.07e+00  -2.8 2.17e-01    -  9.99e-01 1.00e+00h  1
 126  3.1584186e+02 6.39e-02 1.08e+00  -2.8 2.52e-01    -  1.00e+00 9.38e-01f  1
 127  3.1514561e+02 5.23e-02 2.87e+02  -2.8 3.71e-01    -  8.68e-01 1.66e-01f  1
 128  3.0877550e+02 3.04e-02 7.24e+04  -3.3 2.69e-01    -  1.00e+00 4.33e-01f  1
 129  3.0542926e+02 4.20e-02 4.09e+04  -3.2 5.45e-01    -  1.00e+00 2.92e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  3.0776882e+02 3.59e-02 8.57e+03  -2.7 9.93e-01    -  4.37e-01 2.76e-01f  1
 131  3.0710009e+02 1.27e-01 1.18e+04  -3.0 3.08e+00    -  2.73e-01 6.48e-02f  2
 132  3.0591461e+02 1.79e-01 1.44e+04  -3.0 2.26e+00    -  5.37e-01 1.85e-01f  1
 133  3.0467765e+02 2.31e-01 1.42e+04  -3.0 7.00e+00    -  3.02e-01 9.91e-02f  1
 134  3.1051111e+02 4.07e-01 3.65e+04  -2.4 1.33e+01    -  2.41e-01 7.95e-02f  1
 135  3.0908287e+02 4.83e-01 2.47e+04  -2.9 2.27e+00    -  2.63e-01 1.19e-01f  1
 136  3.0736072e+02 2.90e-01 2.31e+04  -2.9 5.34e-01    -  2.42e-01 5.61e-01f  1
 137  3.0477056e+02 2.40e-01 1.45e+04  -2.9 2.85e-01    -  3.54e-01 2.83e-01f  1
 138  3.0287293e+02 1.15e-01 6.60e+03  -2.9 4.13e-01    -  5.66e-01 6.35e-01f  1
 139  3.0160051e+02 9.60e-02 2.02e+04  -3.0 2.00e-01    -  9.01e-01 2.51e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  2.9828965e+02 6.50e-02 6.29e+04  -3.7 6.50e-02    -  1.00e+00 3.52e-01f  1
 141  2.9570819e+02 4.81e-02 4.54e+04  -3.6 3.03e-01    -  9.02e-01 2.62e-01f  1
 142  2.9578040e+02 3.80e-02 6.88e+03  -3.0 4.30e-01    -  6.07e-01 2.41e-01f  1
 143  2.9464399e+02 2.81e-02 2.22e+03  -3.1 4.19e-01    -  8.13e-01 4.74e-01f  1
 144  2.9721151e+02 8.88e-02 8.10e+03  -2.9 5.35e-01    -  2.39e-01 3.47e-01f  1
 145  2.9699404e+02 8.65e-02 1.52e+04  -3.1 6.97e-01    -  5.73e-01 2.73e-02f  1
 146  2.9581918e+02 7.48e-02 1.45e+04  -3.1 1.14e+00    -  4.91e-01 1.71e-01f  1
 147  2.9511551e+02 7.23e-02 1.22e+04  -3.1 7.86e-01    -  4.06e-01 2.01e-01f  1
 148  2.9371663e+02 1.26e-01 6.38e+03  -3.1 3.77e-01    -  1.00e+00 5.41e-01f  1
 149  2.9318501e+02 1.27e-01 3.09e+03  -3.1 6.59e-01    -  7.63e-01 1.85e-01f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  2.9228662e+02 4.69e-02 2.07e+03  -3.2 2.54e-01    -  7.56e-01 6.87e-01H  1
 151  2.9069423e+02 3.77e-02 1.79e+04  -3.4 3.26e-01    -  1.00e+00 2.43e-01f  1
 152  2.8862542e+02 3.94e-02 2.31e+04  -3.7 5.05e-01    -  7.33e-01 2.67e-01f  1
 153  2.8657109e+02 9.95e-02 2.53e+04  -3.9 3.33e-01    -  1.00e+00 3.51e-01f  1
 154  2.9692120e+02 4.51e-02 4.61e+04  -3.1 2.46e-01    -  2.84e-01 1.00e+00H  1
 155  2.9249647e+02 6.12e-02 3.41e+04  -3.5 2.14e-01    -  1.00e+00 2.54e-01f  1
 156  2.9002415e+02 6.07e-02 1.60e+04  -3.3 1.60e-01    -  8.60e-01 2.63e-01f  1
 157  2.8515389e+02 1.17e-01 2.97e+03  -3.5 1.21e-01    -  1.00e+00 8.87e-01f  1
 158  2.8376639e+02 2.02e-02 7.05e+02  -3.6 9.98e-02    -  1.00e+00 9.35e-01h  1
 159  2.8533949e+02 3.76e-02 5.07e+03  -3.3 3.30e-01    -  4.94e-01 7.28e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  2.8484814e+02 8.14e-02 3.78e+03  -3.5 8.43e-01    -  2.47e-01 2.51e-01f  1
 161  2.8425475e+02 1.17e-01 2.55e+03  -3.5 4.58e-01    -  4.27e-01 3.77e-01f  1
 162  2.8317142e+02 7.02e-02 1.26e+03  -3.5 1.07e-01    -  3.58e-01 4.37e-01f  1
 163  2.8583038e+02 4.49e-02 1.20e+04  -3.2 5.26e-02    -  5.42e-01 1.00e+00f  1
 164  2.8486795e+02 2.82e-02 6.80e+03  -3.4 2.49e-01    -  2.51e-01 3.88e-01h  1
 165  2.8467510e+02 2.69e-02 7.12e+03  -3.4 1.80e+00    -  3.75e-01 7.72e-02f  2
 166  2.8400613e+02 5.42e-02 5.57e+03  -3.4 5.19e-01    -  9.11e-01 3.55e-01f  1
 167  2.8354021e+02 8.60e-02 3.92e+03  -3.4 1.80e+00    -  3.27e-01 2.97e-01f  1
 168  2.8329773e+02 7.81e-02 3.73e+03  -3.4 3.14e+00    -  2.86e-01 5.63e-02f  1
 169  2.8360402e+02 2.24e-02 1.65e+03  -3.4 4.67e-01    -  7.55e-01 5.63e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  2.8266045e+02 1.54e-02 9.18e+02  -3.4 3.22e-01    -  7.27e-01 3.24e-01f  1
 171  2.8208131e+02 1.35e-02 6.53e+02  -3.4 3.37e-01    -  5.13e-01 1.38e-01f  1
 172  2.8197696e+02 5.76e-02 1.40e+02  -3.4 3.76e-01    -  8.07e-01 7.08e-01f  1
 173  2.8157095e+02 5.35e-02 9.33e+01  -3.4 3.35e-01    -  1.00e+00 3.02e-01f  1
 174  2.8130156e+02 1.59e-01 1.20e+03  -3.4 7.41e-01    -  1.00e+00 4.18e-01f  1
 175  2.8197310e+02 1.38e-01 1.23e+04  -3.1 3.89e-01    -  6.01e-01 2.09e-01f  1
 176  2.8144885e+02 2.30e-02 6.78e-01  -3.4 6.06e-02    -  1.00e+00 1.00e+00f  1
 177  2.7975365e+02 1.48e-02 1.36e+04  -3.8 5.84e-02    -  1.00e+00 4.77e-01f  1
 178  2.7864738e+02 9.72e-03 1.38e+04  -4.0 2.47e-01    -  1.00e+00 3.39e-01f  1
 179  2.7934185e+02 1.66e-02 7.96e+03  -3.2 1.53e+00    -  2.49e-01 1.82e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  2.7913402e+02 1.83e-02 7.79e+03  -3.7 3.78e+00    -  1.94e-01 4.41e-02f  2
 181  2.7858500e+02 1.88e-02 6.51e+03  -3.7 2.50e+00    -  1.23e-01 1.59e-01f  1
 182  2.7847912e+02 2.56e-02 5.96e+02  -3.0 1.46e+01    -  1.21e-01 4.03e-02f  1
 183  2.8267963e+02 3.84e-01 2.73e+04  -2.4 2.32e+01    -  1.20e-01 4.07e-02f  1
 184  2.8168813e+02 2.69e-01 2.19e+04  -3.4 3.10e+00    -  1.97e-01 1.53e-01f  1
 185  2.8063469e+02 2.52e-01 1.87e+04  -3.4 5.90e+00    -  1.41e-01 5.58e-02f  1
 186  2.7979916e+02 3.26e-01 1.62e+04  -3.4 5.25e+00    -  1.28e-01 6.70e-02f  2
 187  2.8027179e+02 1.70e-01 1.32e+04  -3.4 9.96e-01    -  1.96e-01 3.13e-01H  1
 188  2.7885327e+02 1.04e-01 1.04e+04  -3.4 3.88e-01    -  2.16e-01 3.98e-01f  1
 189  2.7852168e+02 5.86e-02 1.61e+03  -3.4 3.87e-01    -  8.39e-01 6.82e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  2.7835881e+02 3.42e-01 1.13e+01  -3.4 6.11e-01    -  1.00e+00 9.16e-01f  1
 191  2.7686874e+02 2.55e-01 7.89e+03  -4.0 1.85e+00    -  4.71e-01 2.41e-01f  1
 192  2.8485628e+02 2.58e-01 3.08e+04  -2.9 5.88e-01    -  1.81e-01 4.80e-01f  1
 193  2.7802763e+02 9.62e-02 2.85e+03  -3.3 3.59e-01    -  5.06e-01 1.00e+00f  1
 194  2.7827497e+02 3.69e-02 6.56e+02  -3.3 8.50e-02    -  7.78e-01 7.46e-01h  1
 195  2.7746955e+02 1.40e-02 3.86e+01  -3.3 1.42e-01    -  8.18e-01 1.00e+00f  1
 196  2.7531745e+02 6.46e-03 1.36e+04  -3.7 3.46e-01    -  1.00e+00 5.60e-01f  1
 197  2.7871324e+02 1.63e-02 2.18e+03  -2.8 2.00e+00    -  2.15e-01 1.42e-01f  1
 198  2.7782208e+02 1.45e-02 4.14e+03  -3.4 9.00e-01    -  4.80e-01 1.84e-01f  1
 199  2.7724610e+02 4.47e-02 4.14e+03  -3.4 5.47e+00    -  1.47e-01 7.29e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  2.7665405e+02 9.42e-02 3.96e+03  -3.4 1.35e+00    -  3.29e-01 1.74e-01f  1
