This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:   115261
Number of nonzeros in inequality constraint Jacobian.:    24856
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    39498
                     variables with only lower bounds:     9102
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    31302
Total number of inequality constraints...............:     7108
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     7108

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 137  1.0705052e+02 3.78e-05 2.54e-02  -3.6 3.28e-02    -  1.00e+00 1.00e+00h  1
 138  1.0546615e+02 4.26e-04 8.05e-02  -4.0 1.00e-01    -  1.00e+00 1.00e+00f  1
 139  1.0545392e+02 2.10e-03 9.65e-01  -4.0 5.70e-01    -  1.00e+00 3.86e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.1052470e+02 5.98e-03 1.91e+04  -3.0 8.03e-01    -  7.00e-01 4.87e-01f  1
 141  1.1006513e+02 3.51e-03 1.11e+04  -3.3 1.85e-01    -  4.38e-01 5.00e-01f  2
 142  1.0961927e+02 3.47e-03 9.48e+03  -3.3 3.72e-01    -  3.17e-01 1.00e+00f  1
 143  1.0963188e+02 2.55e-03 1.17e+00  -3.3 1.27e-01    -  1.00e+00 2.50e-01h  3
 144  1.0949405e+02 1.32e-03 3.18e-02  -3.3 2.23e-01    -  1.00e+00 1.00e+00h  1
 145  1.1002389e+02 2.70e-05 2.83e-01  -3.3 1.70e-01    -  1.00e+00 1.00e+00H  1
 146  1.0650686e+02 1.14e-03 3.61e+03  -3.8 1.55e-01    -  1.00e+00 8.84e-01f  1
 147  1.0604596e+02 3.16e-04 8.49e-02  -3.8 1.78e-02    -  1.00e+00 1.00e+00h  1
 148  1.0593629e+02 2.20e-04 3.15e-02  -3.8 1.08e-02    -  1.00e+00 1.00e+00h  1
 149  1.0592995e+02 5.56e-06 2.36e-02  -3.8 1.26e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.0654500e+02 2.30e-03 7.71e+02  -3.3 1.74e+00    -  1.88e-01 1.64e-01f  1
 151  1.0650129e+02 2.28e-03 5.98e+02  -3.8 1.50e+00    -  3.39e-01 5.89e-02h  2
 152  1.0641009e+02 2.25e-03 5.68e+02  -3.8 1.62e+00    -  1.12e-01 1.02e-01f  2
 153  1.0634505e+02 2.77e-03 6.36e+02  -3.8 5.08e+00    -  8.05e-02 4.63e-02f  1
 154  1.0630811e+02 2.61e-03 8.58e+02  -3.8 1.61e+00    -  1.52e-01 5.18e-02f  2
 155  1.0620540e+02 2.38e-03 1.13e+03  -3.8 1.91e+00    -  2.32e-01 7.53e-02f  1
 156  1.0614342e+02 2.09e-03 1.12e+03  -3.8 2.23e+00    -  5.85e-02 4.03e-02f  3
 157  1.0604479e+02 1.17e-03 1.29e+03  -3.8 9.41e-01    -  4.06e-01 1.72e-01f  2
 158  1.0600467e+02 1.06e-03 1.30e+03  -3.8 2.93e+00    -  8.08e-02 3.00e-02f  3
 159  1.0596076e+02 1.14e-03 1.22e+03  -3.8 1.14e+00    -  1.60e-01 9.85e-02f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.0592261e+02 9.33e-04 1.21e+03  -3.8 7.59e-01    -  3.49e-01 1.33e-01f  3
 161  1.0585530e+02 5.53e-04 5.45e+02  -3.8 2.54e-01    -  3.65e-01 5.00e-01h  2
 162  1.0575325e+02 3.36e-04 3.59e+02  -3.8 7.93e-02    -  5.69e-01 4.20e-01f  2
 163  1.0563969e+02 1.67e-04 5.96e-01  -3.8 6.55e-02    -  1.00e+00 1.00e+00h  1
 164  1.0565342e+02 2.71e-05 5.47e-01  -3.8 2.59e-02    -  1.00e+00 1.00e+00H  1
 165  1.0486980e+02 1.12e-04 1.48e-01  -4.0 5.21e-02    -  1.00e+00 1.00e+00f  1
 166  1.0485129e+02 1.45e-04 5.88e+00  -4.0 1.35e-01    -  9.81e-01 2.50e-01h  3
 167  1.0489526e+02 1.48e-04 3.41e-01  -4.0 1.61e-01    -  1.00e+00 1.00e+00H  1
 168  1.0508539e+02 1.61e-04 9.73e+03  -3.5 7.34e-01    -  5.67e-01 1.05e-01f  1
 169  1.0502058e+02 9.86e-04 8.61e+03  -3.9 3.15e+00    -  1.15e-01 1.02e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.0498515e+02 1.25e-03 6.59e+03  -3.9 2.07e+00    -  2.37e-01 8.84e-02f  1
 171  1.0494504e+02 1.00e-03 5.12e+03  -3.9 3.46e-01    -  2.24e-01 2.04e-01f  2
 172  1.0488990e+02 5.90e-04 3.97e+03  -3.9 9.53e-02    -  2.21e-01 3.87e-01h  2
 173  1.0488948e+02 3.76e-04 7.01e+02  -3.9 4.29e-02    -  8.23e-01 8.84e-01h  1
 174  1.0484590e+02 2.07e-04 1.26e-01  -3.9 5.13e-02    -  1.00e+00 1.00e+00f  1
 175  1.0461315e+02 1.07e-04 3.27e+02  -4.0 5.51e-02    -  1.00e+00 8.60e-01h  1
 176  1.0455950e+02 2.27e-04 1.89e-01  -4.0 8.31e-02    -  1.00e+00 1.00e+00h  1
 177  1.0581451e+02 1.24e-03 1.54e+02  -3.6 2.31e-01    -  8.34e-01 8.46e-01f  1
 178  1.0570172e+02 1.14e-03 2.68e+03  -3.8 2.70e-01    -  7.65e-01 1.43e-01h  1
 179  1.0541093e+02 2.39e-04 3.62e+02  -3.8 5.94e-02    -  5.12e-01 7.71e-01F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.0517955e+02 2.38e-04 1.20e-01  -3.8 4.97e-02    -  1.00e+00 1.00e+00f  1
 181  1.0517202e+02 8.86e-05 5.19e-02  -3.8 3.36e-02    -  1.00e+00 1.00e+00h  1
 182  1.0516097e+02 4.86e-05 9.22e-02  -3.8 4.91e-02    -  1.00e+00 1.00e+00h  1
 183  1.1079073e+02 1.58e-03 8.91e+03  -3.2 2.44e-01    -  8.17e-01 1.00e+00f  1
 184  1.0906813e+02 1.88e-03 3.10e-01  -3.3 6.94e-02    -  1.00e+00 1.00e+00f  1
 185  1.0874015e+02 9.73e-04 6.00e-02  -3.3 5.66e-02    -  1.00e+00 1.00e+00f  1
 186  1.0875547e+02 2.38e-04 5.97e-02  -3.3 5.58e-02    -  1.00e+00 1.00e+00h  1
