This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    20101
Number of nonzeros in inequality constraint Jacobian.:     4360
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     6924
                     variables with only lower bounds:     1599
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:     5499
Total number of inequality constraints...............:     1252
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     1252

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.3672395e+02 1.61e-03 5.50e+00  -3.3 7.58e-01    -  3.71e-01 1.63e-01h  2
 141  1.3667998e+02 1.44e-03 1.48e+01  -3.3 1.12e+00    -  7.08e-01 1.51e-01h  1
 142  1.3667044e+02 1.12e-03 1.78e+01  -3.3 2.21e+00    -  2.39e-01 1.10e-01f  2
 143  1.3663667e+02 1.14e-03 1.30e+01  -3.3 1.39e+00    -  5.27e-01 1.63e-01h  3
 144  1.3659426e+02 1.10e-03 1.11e+01  -3.3 7.09e-01    -  2.78e-01 7.22e-02h  4
 145  1.3654027e+02 1.05e-03 4.88e-01  -3.3 1.61e-01    -  1.00e+00 1.00e+00h  1
 146  1.4024003e+02 9.68e-03 1.99e+03  -3.0 6.27e-01    -  9.67e-01 1.00e+00f  1
 147  1.4020552e+02 9.00e-03 6.32e+03  -3.1 1.41e+00    -  3.83e-01 1.52e-01h  2
 148  1.3986608e+02 6.59e-03 1.22e+03  -3.1 7.18e-01    -  4.59e-01 7.08e-01H  1
 149  1.3916928e+02 5.09e-03 3.73e+02  -3.1 2.08e+00    -  2.53e-01 1.54e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.3907121e+02 3.71e-03 2.09e+02  -3.1 5.38e+00    -  1.78e-01 6.62e-02f  2
 151  1.3875505e+02 3.00e-03 1.14e+03  -3.1 9.08e-01    -  3.98e-01 1.63e-01f  2
 152  1.3863541e+02 3.26e-05 8.20e+02  -3.1 2.78e-01    -  6.69e-01 1.00e+00H  1
 153  1.3837910e+02 5.93e-04 4.60e+02  -3.1 3.26e-01    -  4.39e-01 2.41e-01f  2
 154  1.3810232e+02 7.88e-04 1.56e-01  -3.1 1.38e-01    -  1.00e+00 1.00e+00f  1
 155  1.3809622e+02 7.60e-04 3.73e+00  -3.1 4.85e-01    -  8.08e-01 1.25e-01h  4
 156  1.3806811e+02 1.99e-04 9.22e-02  -3.1 7.05e-02    -  1.00e+00 1.00e+00h  1
 157  1.3806835e+02 1.39e-04 1.43e-01  -3.1 5.96e-02    -  1.00e+00 1.00e+00h  1
 158  1.3803681e+02 4.62e-05 3.41e-02  -3.1 4.01e-02    -  1.00e+00 1.00e+00h  1
 159  1.3803445e+02 2.07e-05 6.99e-02  -3.1 2.43e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.3803155e+02 1.04e-04 3.24e+00  -3.1 4.93e-01    -  8.61e-01 1.25e-01f  4
 161  1.3802743e+02 1.14e-04 2.61e+00  -3.1 3.25e-01    -  1.00e+00 6.25e-02h  5
 162  1.3818753e+02 2.57e-06 3.69e-01  -3.1 1.04e-01    -  1.00e+00 1.00e+00H  1
