This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:    46101
Number of nonzeros in inequality constraint Jacobian.:    14232
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:    15824
                     variables with only lower bounds:     3649
                variables with lower and upper bounds:        0
                     variables with only upper bounds:        0
Total number of equality constraints.................:    12549
Total number of inequality constraints...............:     4292
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:     4292

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.5190370e+03 7.45e-04 6.14e+03  -2.5 6.94e-01    -  3.11e-01 2.10e-01f  1
 181  1.5226708e+03 1.67e-03 8.11e+04  -2.0 2.04e+00    -  2.02e-01 8.88e-02f  1
 182  1.5219021e+03 1.44e-03 2.84e+04  -2.5 5.33e-01    -  4.36e-01 1.03e-01f  2
 183  1.5195495e+03 5.05e-04 2.25e+04  -2.5 1.37e-01    -  4.72e-01 6.31e-01f  1
 184  1.5190449e+03 6.43e-04 4.07e+03  -2.5 3.20e-01    -  7.92e-01 2.86e-01f  2
 185  1.5187490e+03 5.00e-04 3.44e+03  -2.5 5.85e-02    -  6.29e-01 4.72e-01f  2
 186  1.5177043e+03 1.93e-04 1.12e+02  -2.5 2.04e-02    -  8.91e-01 1.00e+00f  1
 187  1.5136826e+03 1.17e-04 1.60e+05  -3.1 3.96e-02    -  1.00e+00 3.82e-01f  1
 188  1.5121077e+03 1.08e-04 1.66e+05  -3.6 8.75e-01    -  4.53e-01 7.98e-02f  1
 189  1.5142956e+03 1.60e-03 2.01e+04  -2.0 5.23e+00    -  2.19e-01 6.29e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.5136939e+03 1.56e-03 2.27e+04  -2.7 1.96e+00    -  1.09e-01 2.99e-02f  1
 191  1.5130536e+03 1.56e-03 2.82e+04  -2.7 2.46e+00    -  2.26e-01 4.71e-02f  3
 192  1.5119840e+03 1.39e-03 2.79e+04  -2.7 1.20e+00    -  2.05e-01 1.07e-01f  3
 193  1.5112671e+03 1.14e-03 2.31e+04  -2.6 6.12e-01    -  4.57e-01 1.69e-01f  3
 194  1.5099252e+03 8.06e-04 1.02e+04  -2.6 2.71e-01    -  6.36e-01 2.78e-01f  1
 195  1.5096554e+03 7.37e-04 4.76e+03  -2.6 2.64e-01    -  5.19e-01 2.63e-01f  2
 196  1.5074171e+03 5.14e-04 6.27e+04  -3.0 1.67e-01    -  6.88e-01 2.95e-01f  1
 197  1.5112361e+03 2.53e-04 5.85e+04  -2.5 4.33e-02    -  6.64e-01 1.00e+00f  1
 198  1.5074390e+03 1.65e-04 1.36e+05  -3.0 1.34e-01    -  1.00e+00 3.74e-01f  1
 199  1.5082863e+03 1.65e-04 8.10e+03  -2.5 2.81e-01    -  7.33e-01 2.77e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
